occurrenceID,measurementType,measurementValue,measurementRemarks
893ecc32-a599-456b-ac43-4b1121ca0260,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
05f2d428-cae6-4469-a0e5-df75e3b667d1,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
cff0135a-075e-409f-93c3-41d2be0728d9,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
02eb3ecc-80eb-4b65-a2ca-df0df7c887a4,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
0e3edd0e-41ac-4fd6-b1d7-3bb1547323f8,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
3ec169ab-1e7a-40eb-9046-55a3f0595535,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
8683b07b-a60b-4a80-82eb-b58838dec912,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
003fd69c-f314-4812-be16-573664b14e1b,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
f4644d0e-7ed3-4401-b519-14f757e6d6c4,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
ef588729-2c8c-4746-bcdf-0a99936528db,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
6f943aa7-859f-46de-be63-1aa40184fb5e,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
30471559-7092-44b8-ad0d-789394a52435,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
c777ba21-7488-49f9-98ca-198601d69df1,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
608766d8-5562-408b-a50d-7c74462abcf3,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
67900fd2-8d77-485c-9108-ef731832945c,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
228419ba-50ee-4d00-8f64-6b96801699ae,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
